plant,yaw,fruit,x,y,z
1,1.570700,0,4,6,6.7
2,1.570700,0,4,4.5,6.7
3,1.570700,red,4,13.5,3.9
4,-1.570700,red,4,15.0,3.9
5,1.570700,0,10,21,1.1
6,1.570700,0,10,22.5,1.1
7,1.570700,0,10,19.5,1.1
8,-1.570700,red,10,22.5,3.9
9,1.570700,red,10,19.5,3.9
10,-1.570700,red,16,13.5,1.1
11,1.570700,0,16,12,1.1
12,1.570700,0,16,15,1.1
13,1.570700,0,16,21,1.1
14,-1.570700,red,16,19.5,1.1
15,-1.570700,0,16,19.5,6.7
16,1.570700,red,16,22.5,6.7
17,-1.570700,yellow,10,7.5,1.1
18,1.570700,yellow,10,4.5,3.9
19,1.570700,yellow,10,15,3.9
20,-1.570700,yellow,10,12,3.9
21,1.570700,yellow,10,13.5,3.9
22,-1.570700,yellow,16,4.5,6.7
23,1.570700,yellow,16,6,6.7
24,-1.570700,yellow,16,15,3.9
25,-1.570700,yellow,16,12,3.9
26,-1.570700,yellow,16,13.5,3.9
27,1.570700,yellow,16,15,6.7
28,-1.570700,purple,4,12,1.1
29,-1.570700,purple,4,19.5,1.1
30,-1.570700,purple,4,22.5,1.1
31,-1.570700,purple,4,21,1.1
32,-1.570700,purple,10,6,6.7
33,1.570700,purple,10,13.5,1.1
34,-1.570700,purple,10,15,1.1
35,1.570700,purple,10,12,1.1
36,1.570700,purple,10,19.5,6.7
37,1.570700,purple,10,22.5,6.7
38,1.570700,0,10,21,6.7
39,1.570700,0,16,6,3.9
40,-1.570700,purple,16,4.5,3.9
